=== n=4 oracle sweep START 2026-06-24T23:54:33+02:00  parallelism=12  -Xmx12g  per-step=5400s ===
log: sweep-logs/n4-sweep-20260624-235433.log

############### maxSize=26  started 2026-06-24T23:54:33+02:00 ###############
DischargeRProbe: PARALLEL generate-all enumerateSymbolsParallel(maxN=4, maxSize=26, parallelism=12) ...
  [maxSize=28] 4065s  dsets=253310832 (62313/s)  distinct=88
  [maxSize=28] 4080s  dsets=253897078 (62228/s)  distinct=88
  [maxSize=28] 4095s  dsets=254213437 (62077/s)  distinct=88
  [maxSize=28] 4110s  dsets=254627118 (61951/s)  distinct=88
  [maxSize=28] 4125s  dsets=255049099 (61828/s)  distinct=88
  [maxSize=28] 4140s  dsets=255460756 (61703/s)  distinct=88
  [maxSize=28] 4155s  dsets=255973006 (61604/s)  distinct=88
  [maxSize=28] 4170s  dsets=256589781 (61530/s)  distinct=88
  [maxSize=28] 4185s  dsets=257129213 (61439/s)  distinct=88
  [maxSize=28] 4200s  dsets=257666016 (61347/s)  distinct=88
  [maxSize=28] 4215s  dsets=258120875 (61237/s)  distinct=88
  [maxSize=28] 4230s  dsets=258556983 (61122/s)  distinct=88
  [maxSize=28] 4245s  dsets=258939198 (60997/s)  distinct=88
  [maxSize=28] 4260s  dsets=259226712 (60849/s)  distinct=88
  [maxSize=28] 4275s  dsets=259790668 (60768/s)  distinct=88
  [maxSize=28] 4290s  dsets=260333888 (60682/s)  distinct=88
  [maxSize=28] 4305s  dsets=260772401 (60572/s)  distinct=88
  [maxSize=28] 4320s  dsets=261346652 (60495/s)  distinct=88
  [maxSize=28] 4335s  dsets=261908295 (60415/s)  distinct=88
  [maxSize=28] 4350s  dsets=262373241 (60314/s)  distinct=88
  [maxSize=28] 4365s  dsets=262701060 (60181/s)  distinct=88
  [maxSize=28] 4380s  dsets=263168669 (60082/s)  distinct=89
  [maxSize=28] 4395s  dsets=263568863 (59968/s)  distinct=89
  [maxSize=28] 4410s  dsets=264010847 (59864/s)  distinct=95
  [maxSize=28] 4425s  dsets=264515534 (59775/s)  distinct=96
  [maxSize=28] 4440s  dsets=264897083 (59659/s)  distinct=99
  [maxSize=28] 4455s  dsets=265238433 (59535/s)  distinct=99
  [maxSize=28] 4470s  dsets=265568937 (59409/s)  distinct=100
  [maxSize=28] 4485s  dsets=265889822 (59282/s)  distinct=100
  [maxSize=28] 4500s  dsets=266267395 (59169/s)  distinct=100
  [maxSize=28] 4515s  dsets=266665908 (59060/s)  distinct=100
  [maxSize=28] 4530s  dsets=267103194 (58961/s)  distinct=100
  [maxSize=28] 4545s  dsets=267488599 (58851/s)  distinct=100
  [maxSize=28] 4560s  dsets=267763976 (58718/s)  distinct=100
  [maxSize=28] 4575s  dsets=268013317 (58580/s)  distinct=100
  [maxSize=28] 4590s  dsets=268335370 (58459/s)  distinct=100
  [maxSize=28] 4605s  dsets=268538254 (58313/s)  distinct=100
  [maxSize=28] 4620s  dsets=268777283 (58175/s)  distinct=100
  [maxSize=28] 4635s  dsets=269039105 (58043/s)  distinct=100
  [maxSize=28] 4650s  dsets=269215249 (57894/s)  distinct=100
  [maxSize=28] 4665s  dsets=269410877 (57750/s)  distinct=100
